Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
1880.0000,-2.5138023973e+00,1.6770933424e+01,2.6956735942e+00,-3.7692166800e-03,5.1890791310e-03,2.8466812503e-03
1890.0000,-2.5514695752e+00,1.6822483311e+01,2.7241065234e+00,-3.7640838539e-03,5.1208834941e-03,2.8397974515e-03
1900.0000,-2.5890813642e+00,1.6873350821e+01,2.7524673959e+00,-3.7581379371e-03,5.0526062004e-03,2.8322694093e-03
1910.0000,-2.6266296047e+00,1.6923535213e+01,2.7807497549e+00,-3.7513732182e-03,4.9842622509e-03,2.8240943023e-03
1920.0000,-2.6641060809e+00,1.6973035895e+01,2.8089471163e+00,-3.7437841373e-03,4.9158667820e-03,2.8152694529e-03
1930.0000,-2.7015025219e+00,1.7021852428e+01,2.8370529700e+00,-3.7353652881e-03,4.8474350630e-03,2.8057923289e-03
1940.0000,-2.7388106036e+00,1.7069984527e+01,2.8650607810e+00,-3.7261114198e-03,4.7789824929e-03,2.7956605442e-03
1950.0000,-2.7760219501e+00,1.7117432060e+01,2.8929639914e+00,-3.7160174388e-03,4.7105245979e-03,2.7848718602e-03
1960.0000,-2.8131281356e+00,1.7164195053e+01,2.9207560216e+00,-3.7050784110e-03,4.6420770283e-03,2.7734241871e-03
1970.0000,-2.8501206855e+00,1.7210273688e+01,2.9484302719e+00,-3.6932895630e-03,4.5736555557e-03,2.7613155844e-03
1980.0000,-2.8869910784e+00,1.7255668304e+01,2.9759801239e+00,-3.6806462843e-03,4.5052760701e-03,2.7485442625e-03
1990.0000,-2.9237307477e+00,1.7300379402e+01,3.0033989421e+00,-3.6671441290e-03,4.4369545769e-03,2.7351085835e-03
2000.0000,-2.9603310830e+00,1.7344407642e+01,3.0306800754e+00,-3.6527788172e-03,4.3687071940e-03,2.7210070624e-03
